marker,class,target_vma,adrp_address,add_address,register,nearby_bl_targets
androidboot.,boot_property,0x58e3e2,0x46c2f4,0x46c300,x22,"0x4ac808,0x4ac9b0,0x4e0878"
androidboot.,boot_property,0x58e3fe,0x46c3a4,0x46c3b4,x3,0x4ffc88
androidboot.,boot_property,0x58e416,0x46c3e4,0x46c3f4,x3,"0x4e0878,0x4fec90,0x4ffc88"
selinux,selinux_policy_or_mode,0x5862b6,0x4b1abc,0x4b1ac0,x20,"0x538d00,0x542570,0x542838,0x5437e8,0x544038,0x548680"
selinux,selinux_policy_or_mode,0x591683,0x4b1cb0,0x4b1cb8,x23,"0x4b1a58,0x52cb04,0x52cf5c,0x5315e0,0x542570,0x5437e8,0x544038"
/system/etc/selinux/,policy_path_or_variant,0x591bd8,0x4b38a4,0x4b38ac,x0,0x52d690
/system/etc/selinux/,policy_path_or_variant,0x591c58,0x4b3944,0x4b3948,x0,0x52d690
/vendor/etc/selinux/,policy_path_or_variant,0x591c81,0x4b397c,0x4b3980,x0,0x52d690
/vendor/etc/selinux/,policy_path_or_variant,0x591caa,0x4b39bc,0x4b39c0,x0,0x52d690
/odm/etc/selinux/,policy_path_or_variant,0x591cd4,0x4b3a14,0x4b3a18,x0,"0x4b3aa0,0x52d690"
selinux,selinux_policy_or_mode,0x591d36,0x4b3c24,0x4b3c30,x2,"0x4da3f0,0x52d580,0x52d9c0,0x531698,0x548680"
/system/etc/selinux/,policy_path_or_variant,0x591dfd,0x4b3de4,0x4b3dec,x0,"0x52d690,0x538e38"
/system/etc/selinux/,policy_path_or_variant,0x591e80,0x4b3e7c,0x4b3e80,x0,0x52d690
/vendor/etc/selinux/,policy_path_or_variant,0x591eaa,0x4b3eac,0x4b3eb0,x0,0x52d690
/vendor/etc/selinux/,policy_path_or_variant,0x591ed4,0x4b3eec,0x4b3ef0,x0,0x52d690
/odm/etc/selinux/,policy_path_or_variant,0x591eff,0x4b3f3c,0x4b3f40,x0,0x52d690
selinux,selinux_policy_or_mode,0x59185a,0x4b46f4,0x4b4700,x2,"0x4b4940,0x532a20,0x542838"
selinux,selinux_policy_or_mode,0x59185a,0x4b47cc,0x4b47dc,x2,"0x4b4940,0x5334e8,0x548680"
selinux,selinux_policy_or_mode,0x59185a,0x4b4848,0x4b4854,x2,"0x4b4940,0x548680"
selinux,selinux_policy_or_mode,0x59222b,0x4b5a38,0x4b5a44,x2,"0x52d580,0x539600,0x5430b0"
ro.debuggable,security_property,0x5a3f2c,0x4ce11c,0x4ce120,x0,"0x5323b8,0x5323d0,0x532498,0x547128"
ro.debuggable,security_property,0x5a3f2c,0x4ce1ec,0x4ce1f4,x1,"0x4ce218,0x5323a8,0x5323b8,0x538b30,0x538e38,0x546ee8"
androidboot.,boot_property,0x596c10,0x51bf70,0x51bf80,x1,"0x51ba68,0x51c638,0x538e38"
androidboot.,boot_property,0x596c4e,0x51c158,0x51c160,x1,"0x51a308,0x51b918,0x51c638"
androidboot.,boot_property,0x596c8e,0x51c1e8,0x51c1f0,x1,"0x51a308,0x51b978,0x51c638,0x51da18,0x51da38"
androidboot.,boot_property,0x58e3e2,0x51c2c4,0x51c2cc,x1,"0x51ba68,0x51c638,0x51d5a0,0x51d5b8"
androidboot.,boot_property,0x58e3fe,0x51c394,0x51c39c,x1,"0x51c638,0x51d888"
androidboot.,boot_property,0x58e3e2,0x51c3c8,0x51c3d0,x1,"0x51ba68,0x51c638,0x51d888"
androidboot.,boot_property,0x58e3fe,0x51c4d8,0x51c4e0,x1,"0x4ad6e8,0x51b050,0x51c638,0x51dd10"
androidboot.,boot_property,0x58e416,0x51c510,0x51c514,x1,"0x4ad6e8,0x51b050,0x51c638,0x51dd10"
androidboot.,boot_property,0x596cd8,0x51c554,0x51c55c,x1,"0x4ad6e8,0x51b050,0x51c638,0x51dd10"
androidboot.,boot_property,0x596d16,0x51c5dc,0x51c5e0,x1,"0x4ad6e8,0x51a930,0x51c638,0x538e38"
/system/etc/selinux/,policy_path_or_variant,0x58765f,0x5660f0,0x5660f4,x0,"0x52d690,0x538e38,0x565ca8"
/system/etc/selinux/,policy_path_or_variant,0x58765f,0x566108,0x56610c,x1,"0x52d690,0x538e38,0x565ca8"
/vendor/etc/selinux/,policy_path_or_variant,0x58768a,0x56611c,0x566120,x0,"0x52d690,0x538e38,0x565ca8"
/vendor/etc/selinux/,policy_path_or_variant,0x58768a,0x566134,0x566138,x1,"0x52d690,0x565ca8"
/vendor/etc/selinux/,policy_path_or_variant,0x5876b7,0x566178,0x56617c,x1,"0x52d690,0x565ca8"
/system/etc/selinux/,policy_path_or_variant,0x587793,0x5661d4,0x5661d8,x0,"0x52d690,0x565ca8"
