pattern	file	line	text
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/ThemedActivity.java	121	List<ResolveInfo> listR = com.microsoft.intune.mam.j.f.d.a.r(getPackageManager(), new Intent("android.intent.action.MAIN").addCategory("android.intent.category.HOME").addCategory("android.intent.category.LAUNCHER"), AnswerGroupType.COMMON);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/calendar/view/AppointmentView.java	553	intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/calendar/view/AppointmentView.java	560	Intent intent2 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/defaultlauncher/FakeHome.java	25	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/defaultlauncher/FakeHome.java	51	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/defaultlauncher/FakeHome.java	58	intentFilter.addAction("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/defaultlauncher/FakeHome.java	61	Intent intent2 = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/defaultlauncher/FakeHome.java	80	Intent intent4 = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/setting/EnterpriseSettingActivity.java	102	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/setting/EnterpriseSettingActivity.java	118	Intent component = new Intent("android.intent.action.MAIN").setComponent(new ComponentName("com.android.settings", "com.android.settings.Settings$AccountSettingsActivity"));
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/weather/views/widget/TimeWeatherBaseView.java	453	intentAddCategory = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/welcome/pages/SoftLandingPage.java	243	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/microsoft/rewards/activity/RewardsInfoActivity.java	55	intent.setAction("android.intent.action.MAIN");
intent:CATEGORY_HOME	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	235	<category android:name="android.intent.category.HOME"/>
intent:CATEGORY_HOME	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	257	<category android:name="android.intent.category.HOME"/>
