pattern	file	line	text
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/b/k/p.java	65	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/b/k/p.java	79	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/b/p/h.java	33	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/b/p/h.java	34	return this.a.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/i/p/e.java	29	boolean superDispatchKeyEvent(KeyEvent keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/i/p/e.java	78	return aVar.superDispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/i/p/e.java	106	if (window.superDispatchKeyEvent(keyEvent)) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/i/p/e.java	116	return (view != null && r.f(view, keyEvent)) || aVar.superDispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/i/p/e.java	142	if (window2.superDispatchKeyEvent(keyEvent)) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/m/k/a/a.java	538	public final boolean dispatchKeyEvent(KeyEvent keyEvent) {
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	136	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	216	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	234	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	256	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	274	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	567	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_3x3.xml	8	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MESSAGING;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_3x3.xml	27	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_EMAIL;end"/>
