source,source_sha256,line,class,method,package,target,kind,scope,scope_observation,nearby_literals,permission_markers,identity_markers,user_scope_markers,callsite,direct_fire_literal,direct_home_literal,device_mutation
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,442584,android.app.ApplicationPackageManager,addPreferredActivityAsUser (Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V,android.app,addPreferredActivity,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,,,,AsUser,"158280: 7806 7b52 0000 |0007: invoke-interface/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager;.addPreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V // method@527b",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,442725,android.app.ApplicationPackageManager,clearPackagePreferredActivities (Ljava/lang/String;)V,android.app,clearPackagePreferredActivities,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,,,,,"15832c: 7220 8852 3000 |0002: invoke-interface {v0, v3}, Landroid/content/pm/IPackageManager;.clearPackagePreferredActivities:(Ljava/lang/String;)V // method@5288",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,445778,<unknown>,replacePreferredActivity (Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;)V,<unknown>,replacePreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,UserId,"158676: 7806 0d53 0000 |000c: invoke-interface/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager;.replacePreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V // method@530d",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,445797,<unknown>,replacePreferredActivityAsUser (Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V,<unknown>,replacePreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,AsUser,"01dd8e: 7806 0d53 0000 |0007: invoke-interface/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager;.replacePreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V // method@530d",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,445934,<unknown>,setApplicationEnabledSetting (Ljava/lang/String;II)V,<unknown>,setApplicationEnabledSetting,direct_callsite,other,non-Amazon bounded corpus,,,,UserId,"1586f4: 7806 1c53 0000 |0011: invoke-interface/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@531c",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,445952,<unknown>,setApplicationHiddenSettingAsUser (Ljava/lang/String;ZLandroid/os/UserHandle;)Z,<unknown>,setApplicationHiddenSettingAsUser,direct_callsite,other,non-Amazon bounded corpus,,,,AsUser; UserHandle,"1577ba: 7240 1d53 3014 |0006: invoke-interface {v0, v3, v4, v1}, Landroid/content/pm/IPackageManager;.setApplicationHiddenSettingAsUser:(Ljava/lang/String;ZI)Z // method@531d",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,445968,<unknown>,setComponentEnabledSetting (Landroid/content/ComponentName;II)V,<unknown>,setComponentEnabledSetting,direct_callsite,other,non-Amazon bounded corpus,,,,UserHandle; AsUser; UserId,"01ddfe: 7251 1f53 3054 |0008: invoke-interface {v0, v3, v4, v5, v1}, Landroid/content/pm/IPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@531f",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,446070,<unknown>,setPackagesSuspended ([Ljava/lang/String;ZLandroid/os/PersistableBundle;Landroid/os/PersistableBundle;Ljava/lang/String;)[Ljava/lang/String;,<unknown>,setPackagesSuspendedAsUser,direct_callsite,other,non-Amazon bounded corpus,,,,UserId; AsUser,"157dd8: 7808 2853 0000 |0013: invoke-interface/range {v0, v1, v2, v3, v4, v5, v6, v7}, Landroid/content/pm/IPackageManager;.setPackagesSuspendedAsUser:([Ljava/lang/String;ZLandroid/os/PersistableBundle;Landroid/os/PersistableBundle;Ljava/lang/String;Ljava/lang/String;I)[Ljava/lang/String; // method@5328",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,879670,<unknown>,<unknown>,<unknown>,addPersistentPreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,,"04fb3c: 6e40 422c 1902 |1550: invoke-virtual {v9, v1, v2, v0}, Landroid/app/admin/IDevicePolicyManager$Stub;.addPersistentPreferredActivity:(Landroid/content/ComponentName;Landroid/content/IntentFilter;Landroid/content/ComponentName;)V // method@2c42",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,938701,android.content.pm.IPackageManager$Stub,<unknown>,android.content.pm,setApplicationHiddenSettingAsUser,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,,,,AsUser,"085d16: 6e40 5d52 0821 |0425: invoke-virtual {v8, v0, v1, v2}, Landroid/content/pm/IPackageManager$Stub;.setApplicationHiddenSettingAsUser:(Ljava/lang/String;ZI)Z // method@525d",false,false,false
