label	status	started_utc	finished_utc	command	output
service_list	0	2026-08-03T00:28:28Z	2026-08-03T00:28:28Z	adb -s 'G001LT0511550CFT' 'shell' 'service' 'list'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/service_list.txt
dumpsys_service_names	0	2026-08-03T00:28:28Z	2026-08-03T00:28:28Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' '-l'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/dumpsys_services.txt
process_list	0	2026-08-03T00:28:28Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'ps' '-A' '-o' 'USER,PID,PPID,NAME,ARGS'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/process_list.txt
mount	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'mount'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/mount_info.txt
proc_mounts	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'cat' '/proc/mounts'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/mount_proc.txt
getenforce	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'getenforce'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/security_getenforce.txt
identity	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'id'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/security_id.txt
proc_version	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'cat' '/proc/version'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/security_proc_version.txt
uname	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'uname' '-a'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/security_uname.txt
overlay_list	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'cmd' 'overlay' 'list'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/overlay_list.txt
current_user	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'am' 'get-current-user'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/current_user.txt
user_dump	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' 'user'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/user_dump.txt
settings_secure_read	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'settings' 'list' 'secure'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/settings_secure.txt
settings_global_read	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'settings' 'list' 'global'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/settings_global.txt
settings_system_read	0	2026-08-03T00:28:29Z	2026-08-03T00:28:29Z	adb -s 'G001LT0511550CFT' 'shell' 'settings' 'list' 'system'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/settings_system.txt
device_config_read	127	2026-08-03T00:28:29Z	2026-08-03T00:28:30Z	adb -s 'G001LT0511550CFT' 'shell' 'device_config' 'list'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/device_config.txt
activity_activities	0	2026-08-03T00:28:30Z	2026-08-03T00:28:30Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' 'activity' 'activities'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/dumpsys_activity_activities.txt
activity_recents	0	2026-08-03T00:28:30Z	2026-08-03T00:28:30Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' 'activity' 'recents'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/dumpsys_activity_recents.txt
window_windows	0	2026-08-03T00:28:30Z	2026-08-03T00:28:30Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' 'window' 'windows'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/dumpsys_window_windows.txt
input	0	2026-08-03T00:28:30Z	2026-08-03T00:28:30Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' 'input'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/dumpsys_input.txt
