caller_label,caller,instruction,target_address,callee
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40ef30,0x4917f0,UNKNOWN_0x4917f0
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40ef70,0x4c8da0,__errno
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40efa0,0x45a608,_ZN7android4base10LogMessageC1EPKcjNS0_5LogIdENS0_11LogSeverityES3_i
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40efa8,0x45a600,_ZN7android4base10LogMessage6streamEv
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40efb8,0x4017a0,UNKNOWN_0x4017a0
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40efd4,0x4017a0,UNKNOWN_0x4017a0
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40efe4,0x4017a0,UNKNOWN_0x4017a0
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40f008,0x4017a0,UNKNOWN_0x4017a0
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40f018,0x4017a0,UNKNOWN_0x4017a0
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40f020,0x45a710,_ZN7android4base10LogMessageD1Ev
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40f034,0x4d4440,__stack_chk_fail
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413c9c,0x45b028,_ZN7android4base5SplitERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413cac,0x4917f0,UNKNOWN_0x4917f0
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,413d00,0x4b0fb8,UNKNOWN_0x4b0fb8
