key,ps7330,ps7331,changed,focus
CONFIG_MTK_GIC_V3_EXT,y,y,false,false
CONFIG_MTK_GLGHUB,not set,not set,false,false
CONFIG_MTK_GMAGROTVECHUB,not set,not set,false,false
CONFIG_MTK_GMO_RAM_OPTIMIZE,not set,not set,false,false
CONFIG_MTK_GPIO,not set,not set,false,false
CONFIG_MTK_GPIOLIB_STAND,not set,not set,false,false
CONFIG_MTK_GPS,y,y,false,false
CONFIG_MTK_GPS_SUPPORT,not set,not set,false,false
CONFIG_MTK_GPT_SCHEME_SUPPORT,y,y,false,false
CONFIG_MTK_GPU_COMMON_DVFS_SUPPORT,y,y,false,false
CONFIG_MTK_GPU_R5P0,not set,not set,false,false
CONFIG_MTK_GPU_SPM_DVFS_SUPPORT,not set,not set,false,false
CONFIG_MTK_GPU_SUPPORT,y,y,false,false
CONFIG_MTK_GPU_VERSION,"""mali bifrost r14p0""","""mali bifrost r14p0""",false,false
CONFIG_MTK_GRAVITYHUB,not set,not set,false,false
CONFIG_MTK_GROUP_ENABLE_VERITY,y,y,false,false
CONFIG_MTK_GYROHUB,not set,not set,false,false
CONFIG_MTK_HDMI_3D_SUPPORT,not set,not set,false,false
CONFIG_MTK_HDMI_SUPPORT,not set,not set,false,false
CONFIG_MTK_HDMI_TDM,not set,not set,false,false
CONFIG_MTK_HP_ANASWITCH,not set,not set,false,false
CONFIG_MTK_HWMON,y,y,false,false
CONFIG_MTK_HW_FDE,y,y,false,false
CONFIG_MTK_HW_FDE_AES,not set,not set,false,false
CONFIG_MTK_ICCS_SUPPORT,not set,not set,false,false
CONFIG_MTK_ICE_DEBUG,not set,not set,false,false
CONFIG_MTK_IDLE_BALANCE_ENHANCEMENT,y,y,false,false
CONFIG_MTK_IMGSENSOR,y,y,false,false
CONFIG_MTK_INPKHUB,not set,not set,false,false
CONFIG_MTK_IN_HOUSE_TEE_SUPPORT,y,y,false,false
CONFIG_MTK_ION,y,y,false,false
CONFIG_MTK_ION_CACHE_OPTIMIZATION,not set,not set,false,false
CONFIG_MTK_IO_BOOST,y,y,false,false
CONFIG_MTK_IPV6_VZW,not set,not set,false,false
CONFIG_MTK_IRIS_SUPPORT,not set,not set,false,false
CONFIG_MTK_IRQ_NEW_DESIGN,y,y,false,false
CONFIG_MTK_IRTX_PWM_SUPPORT,not set,not set,false,false
CONFIG_MTK_IR_LEARNING_SUPPORT,not set,not set,false,false
CONFIG_MTK_ITG1010,not set,not set,false,false
CONFIG_MTK_JEITA_STANDARD_SUPPORT,not set,not set,false,false
CONFIG_MTK_JPEG,y,y,false,false
CONFIG_MTK_KERNEL_GEOFENCE,not set,not set,false,false
CONFIG_MTK_KERNEL_MARKER,not set,not set,false,false
CONFIG_MTK_KERNEL_POWER_OFF_CHARGING,y,y,false,false
CONFIG_MTK_L2C_PARITY_CHECK,not set,not set,false,false
CONFIG_MTK_LASTBUS,not set,not set,false,false
CONFIG_MTK_LASTBUS_V2,not set,not set,false,false
CONFIG_MTK_LASTPC,y,y,false,false
CONFIG_MTK_LASTPC_V2,not set,not set,false,false
CONFIG_MTK_LATE_MOUNT,not set,not set,false,false
CONFIG_MTK_LCM,y,y,false,false
CONFIG_MTK_LCM_DEVICE_TREE_SUPPORT,not set,not set,false,false
CONFIG_MTK_LCM_PHYSICAL_ROTATION,"""0""","""0""",false,false
CONFIG_MTK_LCM_PHYSICAL_ROTATION_HW,not set,not set,false,false
CONFIG_MTK_LDVT,not set,not set,false,false
CONFIG_MTK_LEDS,y,y,false,false
CONFIG_MTK_LENS,not set,not set,false,false
CONFIG_MTK_LENS_AD5820AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_AD5823AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_AD5823_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_AK7345AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_AK7371AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_BU63165AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_BU63169AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_BU6424AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_BU6429AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_BU64745GWZAF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_DUMMYLENS_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_DW9714AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_DW9714A_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_DW9718AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_DW9718SAF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_DW9800WAF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_DW9814AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_FM50AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_GAF001AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_GAF002AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_GAF008AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_GT9769TAF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_GT9769TAF_TEST_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_LC898122AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_LC898212AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_LC898212XDAF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_LC898214AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_MT9P017AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_OV5645AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_OV8825AF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_SENSORDRIVE_SUPPORT,not set,not set,false,false
CONFIG_MTK_LENS_USE_MODULE,not set,not set,false,false
CONFIG_MTK_LENS_WV511AAF_SUPPORT,not set,not set,false,false
CONFIG_MTK_LINEARACCHUB,not set,not set,false,false
CONFIG_MTK_LIS3DH_NEW,not set,not set,false,false
CONFIG_MTK_LM_MODE,y,y,false,false
CONFIG_MTK_LOAD_BALANCE_ENHANCEMENT,not set,not set,false,false
CONFIG_MTK_LOAD_TRACKER,y,y,false,false
CONFIG_MTK_LSM6DS3HG,not set,not set,false,false
CONFIG_MTK_LSM6DS3HGY,not set,not set,false,false
CONFIG_MTK_LTR303,not set,not set,false,false
CONFIG_MTK_LTR578,not set,not set,false,false
CONFIG_MTK_LTRX130A_DUAL,y,y,false,false
CONFIG_MTK_M4U,y,y,false,false
CONFIG_MTK_MAGHUB,not set,not set,false,false
CONFIG_MTK_MC3433,not set,not set,false,false
CONFIG_MTK_MD_DIRECT_TETHERING_SUPPORT,not set,not set,false,false
CONFIG_MTK_MEM,y,y,false,false
CONFIG_MTK_MEMCFG,y,y,false,false
CONFIG_MTK_MERGE_INTERFACE_SUPPORT,not set,not set,false,false
CONFIG_MTK_MET_MEM_ALLOC,not set,not set,false,false
CONFIG_MTK_MLOG,y,y,false,false
CONFIG_MTK_MMPROFILE_SUPPORT,not set,not set,false,false
CONFIG_MTK_MOTION_DETECT_HUB,not set,not set,false,false
CONFIG_MTK_MPU6050G,not set,not set,false,false
CONFIG_MTK_MPU6050GY,not set,not set,false,false
CONFIG_MTK_MRDUMP_KEY,y,y,false,false
CONFIG_MTK_MT6306_GPIO_SUPPORT,not set,not set,false,false
CONFIG_MTK_MT6381,not set,not set,false,false
CONFIG_MTK_MUSB_CARPLAY_SUPPORT,not set,not set,false,false
CONFIG_MTK_MUSB_DRV_36BIT,not set,not set,false,false
CONFIG_MTK_MUSB_PORT0_LOWPOWER_MODE,not set,not set,false,false
CONFIG_MTK_MUSB_SW_WITCH_MODE,not set,not set,false,false
CONFIG_MTK_NCP1854_SUPPORT,not set,not set,false,false
CONFIG_MTK_NET_CCMNI,not set,not set,false,false
CONFIG_MTK_NET_LOGGING,not set,not set,false,false
CONFIG_MTK_NET_RFC7217,not set,not set,false,false
CONFIG_MTK_NFC_SUPPORT,not set,not set,false,false
CONFIG_MTK_NOISE_LEVEL_SUPPORT,y,y,false,false
CONFIG_MTK_NXP_TFA9890,not set,not set,false,false
CONFIG_MTK_OD_SUPPORT,not set,not set,false,false
CONFIG_MTK_ORIENTHUB,not set,not set,false,false
CONFIG_MTK_OVERLAY_ENGINE_SUPPORT,not set,not set,false,false
CONFIG_MTK_PASSPOINT_R1_SUPPORT,not set,not set,false,false
CONFIG_MTK_PASSPOINT_R2_SUPPORT,not set,not set,false,false
CONFIG_MTK_PERFMGR_TOUCH_BOOST,y,y,false,false
CONFIG_MTK_PICKUPHUB,not set,not set,false,false
CONFIG_MTK_PID_MAP,y,y,false,false
CONFIG_MTK_PLATFORM,"""mt8183""","""mt8183""",false,false
CONFIG_MTK_PLAT_SRAM_FLAG,not set,not set,false,false
CONFIG_MTK_PMIC,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6313,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6335,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6336,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6337,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6353,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6355,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6356,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6357,not set,not set,false,false
CONFIG_MTK_PMIC_CHIP_MT6358,y,y,false,false
CONFIG_MTK_PMIC_COMMON,y,y,false,false
CONFIG_MTK_PMIC_NEW_ARCH,y,y,false,false
CONFIG_MTK_PMIC_WRAP_HAL,y,y,false,false
CONFIG_MTK_POWER_EXT_DETECT,not set,not set,false,false
CONFIG_MTK_PQ_COLOR_MODE,"""DISP""","""DISP""",false,false
CONFIG_MTK_PRINTK_UART_CONSOLE,not set,not set,false,false
CONFIG_MTK_PSCI,y,y,false,false
CONFIG_MTK_PUMP_EXPRESS_PLUS_20_SUPPORT,not set,not set,false,false
CONFIG_MTK_PUMP_EXPRESS_PLUS_30_SUPPORT,not set,not set,false,false
CONFIG_MTK_PUMP_EXPRESS_PLUS_SUPPORT,not set,not set,false,false
CONFIG_MTK_PUMP_EXPRESS_SUPPORT,not set,not set,false,false
CONFIG_MTK_PWM,y,y,false,false
CONFIG_MTK_QOS_SUPPORT,y,y,false,false
CONFIG_MTK_RAM_CONSOLE,y,y,false,false
CONFIG_MTK_RAM_CONSOLE_ADDR,0x0011D000,0x0011D000,false,false
CONFIG_MTK_RAM_CONSOLE_DRAM_ADDR,0x54400000,0x54400000,false,false
CONFIG_MTK_RAM_CONSOLE_DRAM_SIZE,0x10000,0x10000,false,false
CONFIG_MTK_RAM_CONSOLE_SIZE,0x800,0x800,false,false
CONFIG_MTK_RAM_CONSOLE_USING_DRAM,not set,not set,false,false
CONFIG_MTK_RAM_CONSOLE_USING_SRAM,y,y,false,false
CONFIG_MTK_ROOT_TRACE,not set,not set,false,false
CONFIG_MTK_ROTATVECHUB,not set,not set,false,false
CONFIG_MTK_ROUND_CORNER_SUPPORT,not set,not set,false,false
CONFIG_MTK_RT9466_SUPPORT,not set,not set,false,false
CONFIG_MTK_RT9468_SUPPORT,not set,not set,false,false
CONFIG_MTK_RTC,y,y,false,false
CONFIG_MTK_RT_THROTTLE_MON,not set,not set,false,false
CONFIG_MTK_SCHED_BOOST,y,y,false,false
CONFIG_MTK_SCHED_CPULOAD,y,y,false,false
CONFIG_MTK_SCHED_EAS_PLUS,y,y,false,false
CONFIG_MTK_SCHED_EAS_POWER_SUPPORT,y,y,false,false
CONFIG_MTK_SCHED_INTEROP,y,y,false,false
CONFIG_MTK_SCHED_MONITOR,not set,not set,false,false
CONFIG_MTK_SCHED_RQAVG_KS,y,y,false,false
CONFIG_MTK_SCHED_RQAVG_US,y,y,false,false
CONFIG_MTK_SCHED_SYSHINT,not set,not set,false,false
CONFIG_MTK_SCHED_TRACE,not set,not set,false,false
CONFIG_MTK_SCHED_TRACERS,y,y,false,false
CONFIG_MTK_SCHED_VIP_TASKS,y,y,false,false
CONFIG_MTK_SECURITY_SW_SUPPORT,y,y,false,false
CONFIG_MTK_SEC_MODEM_NVRAM_ANTI_CLONE,not set,not set,false,false
CONFIG_MTK_SEC_VIDEO_PATH_SUPPORT,y,y,false,false
CONFIG_MTK_SELINUX_AEE_WARNING,not set,not set,false,false
CONFIG_MTK_SENSORS_1_0,y,y,false,false
CONFIG_MTK_SENSOR_SUPPORT,y,y,false,false
CONFIG_MTK_SERIAL,not set,not set,false,false
CONFIG_MTK_SHARED_SDCARD,y,y,false,false
CONFIG_MTK_SIB_USB_SWITCH,y,y,false,false
CONFIG_MTK_SIM_LOCK_POWER_ON_WRITE_PROTECT,not set,not set,false,false
CONFIG_MTK_SMARTPA_SOUND,not set,not set,false,false
CONFIG_MTK_SMART_BATTERY,y,y,false,false
CONFIG_MTK_SMI_EXT,y,y,false,false
CONFIG_MTK_SMI_VARIANT,not set,not set,false,false
CONFIG_MTK_SND_SOC_CODEC,"""mt6358""","""mt6358""",false,false
CONFIG_MTK_SND_SOC_NEW_ARCH,y,y,false,false
CONFIG_MTK_SPEAKER,not set,not set,false,false
CONFIG_MTK_SPI,not set,not set,false,false
CONFIG_MTK_SPKGPIO_REWORK,not set,not set,false,false
CONFIG_MTK_ST480,not set,not set,false,false
CONFIG_MTK_STATHUB,not set,not set,false,false
CONFIG_MTK_STEPSIGNHUB,not set,not set,false,false
CONFIG_MTK_STK3X1X_DUAL,y,y,false,false
CONFIG_MTK_STK3X1X_NEW,not set,not set,false,false
CONFIG_MTK_STK8BAXX,y,y,false,false
CONFIG_MTK_SWCHR_SUPPORT,y,y,false,false
CONFIG_MTK_SWITCH_INPUT_OUTPUT_CURRENT_SUPPORT,not set,not set,false,false
CONFIG_MTK_SYNC,y,y,false,false
CONFIG_MTK_SYSENV,y,y,false,false
CONFIG_MTK_SYSIRQ,y,y,false,false
CONFIG_MTK_SYSTRACKER,y,y,false,false
CONFIG_MTK_SYSTRACKER_V2,y,y,false,false
CONFIG_MTK_SYS_CIRQ,y,y,false,false
CONFIG_MTK_TEST_XHCI,not set,not set,false,false
CONFIG_MTK_THERMAL_PA_VIA_ATCMD,y,y,false,false
CONFIG_MTK_TILTDETECTHUB,not set,not set,false,false
CONFIG_MTK_TIMER_ACCURACY_TEST,not set,not set,false,false
CONFIG_MTK_TIMER_TIMESYNC,y,y,false,false
CONFIG_MTK_TINYSYS_SCP_SUPPORT,not set,not set,false,false
CONFIG_MTK_TINYSYS_SSPM_PLT_SUPPORT,not set,not set,false,false
CONFIG_MTK_TINYSYS_SSPM_SUPPORT,y,y,false,false
CONFIG_MTK_TRNG_DRIVER,y,y,false,false
CONFIG_MTK_UAC_POWER_SAVING,y,y,false,false
CONFIG_MTK_UART_USB_SWITCH,not set,not set,false,false
CONFIG_MTK_UNCALI_ACCHUB,not set,not set,false,false
CONFIG_MTK_UNCALI_GYROHUB,not set,not set,false,false
CONFIG_MTK_UNCALI_MAGHUB,not set,not set,false,false
CONFIG_MTK_UNIFY_POWER,y,y,false,false
CONFIG_MTK_USB2JTAG_SUPPORT,not set,not set,false,false
CONFIG_MTK_USBFSH,not set,not set,false,false
CONFIG_MTK_USER_SPACE_GLOBAL_CPUSET,y,y,false,false
CONFIG_MTK_USE_AGING_ZCV,y,y,false,false
CONFIG_MTK_USE_RESERVED_EXT_MEM,not set,not set,false,false
CONFIG_MTK_VIBRATOR,not set,not set,false,false
CONFIG_MTK_VIDEOCODEC_DRIVER,y,y,false,false
CONFIG_MTK_VIDEOX,not set,not set,false,false
CONFIG_MTK_VOW_BARGE_IN_SUPPORT,not set,not set,false,false
CONFIG_MTK_VOW_SUPPORT,not set,not set,false,false
CONFIG_MTK_VPU_SUPPORT,y,y,false,false
CONFIG_MTK_WAKEHUB,not set,not set,false,false
CONFIG_MTK_WAPI_SUPPORT,not set,not set,false,false
CONFIG_MTK_WATCHPOINT,not set,not set,false,false
CONFIG_MTK_WIFI_MCC_SUPPORT,y,y,false,false
CONFIG_MTK_WIRELESS_CHARGER_SUPPORT,not set,not set,false,false
CONFIG_MTK_WLAN_ANT_SWITCH,y,y,false,false
CONFIG_MTK_WLAN_PWR_LIMIT_COUNTRY,y,y,false,false
CONFIG_MTK_WPA3_SUPPORT,ABSENT,y,true,false
CONFIG_MTK_WQ_DEBUG,not set,not set,false,false
CONFIG_MTPROF,y,y,false,false
CONFIG_MT_SND_SOC_6797,not set,not set,false,false
CONFIG_MT_TRUSTY_DEBUGFS,not set,not set,false,false
CONFIG_MU3_PHY,y,y,false,false
CONFIG_MULTIUSER,y,y,false,false
CONFIG_MUTEX_SPIN_ON_OWNER,y,y,false,false
CONFIG_MWIFIEX,not set,not set,false,false
CONFIG_MXC4005,not set,not set,false,false
