root,file,line,class,method,kind,description,excerpt
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,67,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_edge_radius"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,68,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_typeface_style"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,69,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_typeface_caps"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,70,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_text_size"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,71,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""mode_switching_started"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,72,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""mode_switching_failed"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,73,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""mss_mode"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,74,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""mss_deferred_mode"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,75,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""mm_d"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,76,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""post_oobe_user_setup_incomplete_reason"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,79,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""multilingual_mode_locale"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/avod/sdk/internal/AivPackageDetector.java,4,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.restrictions.RestrictionConstants;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/dee/settings/SynchronousCookieFetcher.java,6,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.services.CookieFetcher;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/dee/settings/SynchronousCookieFetcher.java,46,SynchronousCookieFetcher,getCookies,home_control,HOME/launcher control marker,@Override // com.amazon.firelauncher.services.CookieFetcher.CookieCallback
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/dee/settings/SynchronousCookieFetcher.java,51,SynchronousCookieFetcher,sendResult,home_control,HOME/launcher control marker,@Override // com.amazon.firelauncher.services.CookieFetcher.CookieCallback
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/dee/settings/SynchronousCookieFetcher.java,57,SynchronousCookieFetcher,sendResult,home_control,HOME/launcher control marker,@Override // com.amazon.firelauncher.services.CookieFetcher.CookieCallback
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/dee/web/coral/model/cards/ThumbsUpDownActivityAction.java,10,ThumbsUpDownActivityAction,getActivityId,pending_intent,PendingIntent or callback dispatch,public String getActivityId() {
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/FireAppsCardProducerConstants.java,5,FireAppsCardProducerConstants,,home_control,HOME/launcher control marker,"public static final String[] INVALID_PRODUCER_IDS = {""com.amazon.firelauncher.cmsfirecardproducer"", ""com.amazon.firelauncher.cmsfirecardproducer:APPSGAMES"", ""com.amazon.firelauncher.cmsfirecardproducer:GAMESAPPS""};"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/App.java,12,App,getActivityName,pending_intent,PendingIntent or callback dispatch,String getActivityName();
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/AppCategoryProvider.java,3,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.AppCategories;
