caller,instruction,target,callee,resolution
PerformBlockImageUpdate,0x40a23c,0x4b1bc8,_ZNSt3__19to_stringEi,symbol
PerformBlockImageUpdate,0x40a24c,0x4b0948,,address-only
PerformBlockImageUpdate,0x40a288,0x4b0ac8,,address-only
PerformBlockImageUpdate,0x40a2b0,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a2c0,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a2e0,0x4cc170,open64,symbol
PerformBlockImageUpdate,0x40a310,0x459a90,_ZN7android4base15WriteStringToFdERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEi,symbol
PerformBlockImageUpdate,0x40a31c,0x4d4698,fsync,symbol
PerformBlockImageUpdate,0x40a344,0x4c8e90,chown,symbol
PerformBlockImageUpdate,0x40a378,0x4cc400,rename,symbol
PerformBlockImageUpdate,0x40a38c,0x459dd0,_ZN7android4base7DirnameERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,symbol
PerformBlockImageUpdate,0x40a3a8,0x426210,_Z8ota_openPKci,symbol
PerformBlockImageUpdate,0x40a3c4,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a3e4,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a3fc,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a42c,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a434,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a448,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a478,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a480,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a494,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a4a8,0x4c8eb8,close,symbol
PerformBlockImageUpdate,0x40a4d8,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a4e8,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a4f8,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a508,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a510,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a538,0x4dcba8,fprintf,symbol
PerformBlockImageUpdate,0x40a540,0x4dda40,fflush,symbol
PerformBlockImageUpdate,0x40a558,0x4d4698,fsync,symbol
PerformBlockImageUpdate,0x40a56c,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40a580,0x4c8eb8,close,symbol
PerformBlockImageUpdate,0x40a590,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a5bc,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a5c4,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a5d4,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a5dc,0x492908,,address-only
PerformBlockImageUpdate,0x40a5ec,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a5f4,0x492908,,address-only
PerformBlockImageUpdate,0x40a5fc,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a638,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a640,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a650,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a658,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a690,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a698,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a6a8,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a6b0,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a6ec,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a6f4,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a704,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a70c,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a73c,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a744,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a754,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a75c,0x492908,,address-only
PerformBlockImageUpdate,0x40a76c,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a77c,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x40a78c,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a79c,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a7a4,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a7d4,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a7dc,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a7ec,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a80c,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a814,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a848,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a850,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a860,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a880,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a888,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a8c4,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40a8cc,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40a8dc,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a8fc,0x4017a0,,address-only
PerformBlockImageUpdate,0x40a904,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40a96c,0x45b028,_ZN7android4base5SplitERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_,symbol
PerformBlockImageUpdate,0x40a994,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a9b4,0x4917f0,,address-only
PerformBlockImageUpdate,0x40a9ec,0x4917f0,,address-only
PerformBlockImageUpdate,0x40aa6c,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x40aaa4,0x491710,,address-only
PerformBlockImageUpdate,0x40aac8,0x4c7c70,memcpy,symbol
PerformBlockImageUpdate,0x40aad8,0x410e48,,address-only
PerformBlockImageUpdate,0x40aaec,0x4917f0,,address-only
PerformBlockImageUpdate,0x40ab08,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x40ab40,0x491710,,address-only
PerformBlockImageUpdate,0x40ab64,0x4c7c70,memcpy,symbol
PerformBlockImageUpdate,0x40ab74,0x411e48,,address-only
PerformBlockImageUpdate,0x40ab88,0x4917f0,,address-only
PerformBlockImageUpdate,0x40aba4,0x4c8290,strlen,symbol
PerformBlockImageUpdate,0x40abd0,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40ac00,0x45a608,_ZN7android4base10LogMessageC2EPKcjNS0_5LogIdENS0_11LogSeverityES3_i,symbol
PerformBlockImageUpdate,0x40ac08,0x45a600,je_nstime_ns,symbol
PerformBlockImageUpdate,0x40ac18,0x4017a0,,address-only
PerformBlockImageUpdate,0x40ac48,0x4017a0,,address-only
PerformBlockImageUpdate,0x40ac58,0x4017a0,,address-only
PerformBlockImageUpdate,0x40ac60,0x45a710,_ZN7android4base10LogMessageD2Ev,symbol
PerformBlockImageUpdate,0x40ac78,0x491710,,address-only
PerformBlockImageUpdate,0x40ac98,0x4c7c70,memcpy,symbol
PerformBlockImageUpdate,0x40acf4,0x4b0fb8,,address-only
PerformBlockImageUpdate,0x40acfc,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
PerformBlockImageUpdate,0x40ad8c,0x4b0fb8,,address-only
PerformBlockImageUpdate,0x40ada8,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv,symbol
