pair,normal_sha256,rootable_sha256,normal_lines,rootable_lines,normal_unique,rootable_unique,added_unique,removed_unique,focus,normal_count,rootable_count,added_count
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,allow_su,0,0,0
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,allow_shell,0,0,0
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,allow_untrusted_app,0,0,0
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,setcurrent,0,0,0
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,dyntransition,0,15,15
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,capability,62,68,6
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,init_domain,0,0,0
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,load_policy,0,1,1
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,setenforce,0,1,1
vendor,82430dbe87b8a5f653110b635289489b99e82bdbe7bdc7a2e1ee5564e674e035,82559be062226861221c58fb33de39d2541d0a4b08a96ea10bea2b3acc2e5b7a,9749,10803,9357,10411,1060,6,debug_build_marker,0,0,0
