apk,apk_sha256,package,shared_user_id,protected_broadcast_count,target_action_present,target_permission_string_present,aapt_status
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.DEVICE_ONLINE
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.DEVICE_OFFLINE
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.DEVICE_FOUND
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.DISCOVERY_STARTED
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.DISCOVERY_FINISHED
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.BATTERY_LEVEL_UPDATE
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.HEADPHONES_PLUGGED
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.CONNECTION_STATUS
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.wifi.BOND_STATUS
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:amazon.intent.action.USER_SWITCH_BACKGROUND
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:amazon.intent.action.USER_SWITCH_FOREGROUND
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:android.hardware.hdmi.action.OSD_MESSAGE
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.smartsuspend.ACTION
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.smartsuspend.AwayDetector.ACTION
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.smartsuspend.smartusagescheduleprovider.action.PENALTY_ALARM
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.smartsuspend.networkmodule.action.AUTOWIFI_ALARM
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.smartsuspend.networkmodule.action.RADIO_ON
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.smartsuspend.networkmodule.action.RADIO_OFF
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:amazon.intent.action.ACTION_MOONLIGHT_STATE
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:amazon.speech.START_INTERACTION
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:amazon.speech.VOICE_INTERACTION
