source_package,shared_user_id,protected_broadcast,is_target_action,target_permission_string_observed
android.amazon.perm,android.uid.system,amazon.intent.action.DYNO_AUTO_APP_OFFLOAD_THRESHOLD_REACHED,false,true
android.amazon.perm,android.uid.system,com.amazon.configure.arcus.sync.package,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_BeginCall,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_EndCall,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_SendDTMF,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_EarlyAcceptCall,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_AcceptCall,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_ConfigureComms,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_SetCallMediaState,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_RingCall,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_IgnoreCal,false,true
android.amazon.perm,android.uid.system,com.amazon.speech.SipClient_Warmup,false,true
android.amazon.perm,android.uid.system,com.amazon.shared.storage.MIGRATE_DATA,false,true
android.amazon.perm,android.uid.system,amazon.bluetooth.device.action.IRK_PAIR_UPDATE,false,true
android.amazon.perm,android.uid.system,amazon.bluetooth.input.profile.action.BATTERY_REPORT_FOUND,false,true
android.amazon.perm,android.uid.system,amazon.bluetooth.input.profile.action.BATTERY_LEVEL_UPDATE,false,true
android.amazon.perm,android.uid.system,amazon.bluetooth.input.profile.action.HID_REACH_LIMIT,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.PRIVACY_MODE_ON,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.PRIVACY_MODE_OFF,false,true
android.amazon.perm,android.uid.system,audio_server_restarted,false,true
android.amazon.perm,android.uid.system,com.amazon.intent.action.PARTNER_PRIME_SUBSCRIPTION,false,true
android.amazon.perm,android.uid.system,com.amazon.android.diags.ON_EVENT,false,true
android.amazon.perm,android.uid.system,amazon.net.UNIFIED_NETWORK,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.PIP_STATE_CHANGE,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.RECEIVE_KEY_PRESS,false,true
android.amazon.perm,android.uid.system,com.amazon.intent.action.GESTURE_DETECTED,false,true
android.amazon.perm,android.uid.system,com.amazon.device.ACTION_APP_PROFILE_UPDATED,false,true
android.amazon.perm,android.uid.system,com.amazon.device.ACTION_ACTIVE_PROFILE_UPDATED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.settings.v2.HUD_APPEARANCE,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.settings.v2.HUD_DISMISSAL,false,true
android.amazon.perm,android.uid.system,com.amazon.logan.ACTION_PROFILE_ENROLLED,false,true
android.amazon.perm,android.uid.system,com.amazon.logan.ACTION_PROFILE_UNENROLLED,false,true
android.amazon.perm,android.uid.system,com.amazon.logan.ACTION_PROFILE_REMOVED,false,true
android.amazon.perm,android.uid.system,com.amazon.device.ACTION_CHILD_PARTNER_KEY_EVENT,false,true
android.amazon.perm,android.uid.system,com.amazon.device.ACTION_ADULT_PARTNER_KEY_EVENT,false,true
android.amazon.perm,android.uid.system,com.amazon.device.ACTION_NONENABLED_APP_LAUNCH,false,true
android.amazon.perm,android.uid.system,com.amazon.device.ACTION_AWAKE_WITH_COOKIECONSENT_DISABLED_EVENT,false,true
android.amazon.perm,android.uid.system,com.amazon.action.TVINPUT_ADDED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.TVINPUT_REMOVED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.TVINPUT_UPDATED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.TVINPUT_CHANGED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.AMAZON_INPUTS_ADDED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.AMAZON_INPUT_SWITCHED_TO,false,true
android.amazon.perm,android.uid.system,com.amazon.action.AMAZON_INPUT_CHANGED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.SCREEN_ON,false,true
android.amazon.perm,android.uid.system,com.amazon.action.SCREEN_OFF,false,true
android.amazon.perm,android.uid.system,com.amazon.action.AUDIO_MODE_CHANGED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.AUDIO_SERVER_RESTARTED,false,true
android.amazon.perm,android.uid.system,com.amazon.logan.settings.TOGGLE_ON_OFF,false,true
android.amazon.perm,android.uid.system,com.amazon.accessibility.RECORD_COMPONENT_GESTURE_COUNTS,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.SCREEN_STATE_CHANGED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.TV_TERRESTRIAL_PRESSED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.TV_SATELLITE_BS_CS_PRESSED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.TV_4K_SATELLITE_PRESSED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.SETTINGS_PRESSED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.TV_TERRESTRIAL_DIGITAL_PRESSED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.TV_SATELLITE_BS_PRESSED,false,true
android.amazon.perm,android.uid.system,com.amazon.tv.action.TV_SATELLITE_CS_PRESSED,false,true
android.amazon.perm,android.uid.system,amazon.intent.COOKIE_CONSENT_REQUIRED,false,true
android.amazon.perm,android.uid.system,com.amazon.action.ACTIVITY_ABORT,false,true
android.amazon.perm,android.uid.system,amazon.intent.action.LAUNCH_ALEXA_MUSIC_RECENTLY_PLAYED,false,true
android.amazon.perm,android.uid.system,amazon.ad.id.update.notification,false,true
android.amazon.perm,android.uid.system,com.amazon.android.server.ads.identifier.HYBRID_AD_ID_UPDATE,false,true
